"file_name","target","dataset_type"
"full2-46.wav","1456","train"
"full2-52.wav","3768","train"
"full2-50.wav","0976","train"
"full2-55.wav","3421","train"
"full2-54.wav","5678","train"
"full2-59.wav","1987","train"
"full2-60.wav","4657","train"
"full2-56.wav","4698","train"
"full2-57.wav","3298","train"
"full2-58.wav","3478","train"
"full2-51.wav","9678","train"
"full2-61.wav","6545","train"
"full2-53.wav","1234","train"
"full2-65.wav","5879","train"
"full2-64.wav","8976","train"
"full2-63.wav","5656","train"
"full2-62.wav","7879","train"
"full2-69.wav","0675","train"
"full2-68.wav","4876","train"
"full2-67.wav","2767","train"
"full2-66.wav","7345","train"
"full3-65.wav","2435","valid"
"full3-11.wav","8679","valid"
"full3-48.wav","2657","valid"
"full3-22.wav","6254","valid"
"full3-57.wav","6090","valid"
"full3-10.wav","5978","valid"
"full3-35.wav","4657","valid"
"full3-34.wav","3565","valid"
"full3-63.wav","1437","valid"
"full3-91.wav","4398","valid"
"full3-95.wav","4768","valid"
"full3-75.wav","6079","valid"
"full3-47.wav","4768","valid"
"full3-59.wav","4565","valid"
"full3-46.wav","3453","valid"
"full3-25.wav","2867","valid"
"full3-88.wav","4598","valid"
"full3-94.wav","5876","valid"
"full3-60.wav","5069","valid"
"full3-04.wav","3546","valid"
"full3-66.wav","5876","valid"
"full3-23.wav","1234","valid"
"full3-32.wav","2109","valid"
"full3-45.wav","2439","valid"
"full3-08.wav","3546","valid"
"full3-43.wav","5876","valid"
"full3-68.wav","1321","valid"
"full3-15.wav","0897","valid"
"full3-41.wav","3546","valid"
"full3-26.wav","7452","valid"
"full3-70.wav","8586","valid"
"full3-03.wav","1278","valid"
"full3-39.wav","9561","valid"
"full3-12.wav","4632","valid"
"full3-05.wav","2435","valid"
"full3-67.wav","9878","valid"
"full3-83.wav","6546","valid"
"full3-52.wav","8786","valid"
"full3-90.wav","3435","valid"
"full3-16.wav","3421","valid"
"full3-93.wav","7867","valid"
"full3-09.wav","9897","valid"
"full3-81.wav","0687","valid"
"full3-87.wav","5645","valid"
"full3-72.wav","7654","valid"
"full3-20.wav","3456","valid"
"full3-77.wav","1234","valid"
"full3-06.wav","2345","valid"
"full3-82.wav","3456","valid"
"full3-27.wav","4567","valid"
"full3-31.wav","5678","valid"
"full3-79.wav","6789","valid"
"full3-55.wav","7890","valid"
"full3-73.wav","8765","valid"
"full3-92.wav","0987","valid"
"full3-86.wav","6543","valid"
"full3-61.wav","7654","valid"
"full3-37.wav","5432","valid"
"full3-19.wav","2345","valid"
"full3-78.wav","4321","valid"
"full3-89.wav","0987","valid"
"full3-33.wav","5645","valid"
"full3-74.wav","3545","valid"
"full3-62.wav","0897","valid"
"full3-71.wav","5768","valid"
"full3-40.wav","4878","valid"
"full3-80.wav","0564","valid"
"full3-21.wav","3767","valid"
"full3-02.wav","8243","valid"
"full3-64.wav","5678","valid"
"full3-07.wav","1234","valid"
"full3-58.wav","2345","valid"
"full3-18.wav","3456","valid"
"full3-51.wav","4567","valid"
"full3-56.wav","5678","valid"
"full3-50.wav","6789","valid"
"full3-84.wav","0987","valid"
"full3-28.wav","6543","valid"
"full3-69.wav","2468","valid"
"full3-85.wav","4680","valid"
"full3-53.wav","5768","valid"
"full3-49.wav","0798","valid"
"full3-30.wav","6543","valid"
"full3-54.wav","2453","valid"
"full3-76.wav","4567","valid"
"full3-42.wav","9876","valid"
"full3-36.wav","5767","valid"
"full3-14.wav","0909","valid"
"full3-24.wav","8989","valid"
"full3-29.wav","9786","valid"
"full3-17.wav","5342","valid"
"full3-13.wav","3456","valid"
"full3-01.wav","1324","valid"
"full3-38.wav","3545","valid"
"full3-44.wav","6666","valid"
"full4-21.wav","1234","test"
"full4-20.wav","2345","test"
"full4-18.wav","3456","test"
"full4-19.wav","4567","test"
"full4-15.wav","4567","test"
"full4-16.wav","5678","test"
"full4-17.wav","6789","test"
"full4-14.wav","7890","test"
"full4-12.wav","0987","test"
"full4-13.wav","9876","test"
"full4-11.wav","8765","test"
"full4-10.wav","7654","test"
"full4-08.wav","6543","test"
"full4-09.wav","5432","test"
"full4-07.wav","4321","test"
"full4-06.wav","1212","test"
"full4-05.wav","2323","test"
"full4-02.wav","3434","test"
"full4-03.wav","4545","test"
"full4-04.wav","5656","test"
"full4-01.wav","6767","test"
"full4-41.wav","7878","test"
"full4-40.wav","8989","test"
"full4-37.wav","9090","test"
"full4-36.wav","0909","test"
"full4-39.wav","9898","test"
"full4-38.wav","8787","test"
"full4-35.wav","7676","test"
"full4-34.wav","6565","test"
"full4-32.wav","5454","test"
"full4-33.wav","4343","test"
"full4-31.wav","3232","test"
"full4-30.wav","2121","test"
"full4-28.wav","1357","test"
"full4-29.wav","2468","test"
"full4-27.wav","3579","test"
"full4-26.wav","4680","test"
"full4-25.wav","0864","test"
"full4-23.wav","9753","test"
"full4-22.wav","7654","test"
"full4-24.wav","6543","test"
"full4-51.wav","1111","test"
"full4-50.wav","2222","test"
"full4-48.wav","3333","test"
"full4-49.wav","4444","test"
"full4-46.wav","5555","test"
"full4-47.wav","6666","test"
"full4-45.wav","7777","test"
"full4-42.wav","8888","test"
"full4-43.wav","9999","test"
"full4-44.wav","0000","test"
"full4-64.wav","1111","test"
"full4-65.wav","2222","test"
"full4-62.wav","3333","test"
"full4-63.wav","4444","test"
"full4-61.wav","5555","test"
"full4-60.wav","6666","test"
"full4-59.wav","7777","test"
"full4-56.wav","8888","test"
"full4-57.wav","9999","test"
"full4-58.wav","0000","test"
"full4-52.wav","1324","test"
"full4-53.wav","2435","test"
"full4-55.wav","3546","test"
"full4-54.wav","5768","test"
"full4-78.wav","4657","test"
"full4-76.wav","7980","test"
"full4-75.wav","6879","test"
"full4-77.wav","0897","test"
"full4-73.wav","8976","test"
"full4-72.wav","7857","test"
"full4-74.wav","6453","test"
"full4-71.wav","4323","test"
"full4-70.wav","4567","test"
"full4-69.wav","6453","test"
"full4-67.wav","7867","test"
"full4-66.wav","4656","test"
"full4-68.wav","3545","test"
